Monomer;mmol/gDW;Percentage (mol/mol)
M_ala_DASH_L_c;0.3578087389469147;0.06998313724131124
M_arg_DASH_L_c;0.1751202642917633;0.03424079908418424
M_asn_DASH_L_c;0.2404007762670517;0.04703144817805819
M_asp_DASH_L_c;0.3285451829433441;0.06427169164010879
M_cys_DASH_L_c;0.20188824832439423;0.03948140857581814
M_gln_DASH_L_c;0.34498131275177;0.0674794945685914
M_glu_DASH_L_c;0.13434092700481415;0.02627493538429108
M_gly_c;0.22950735688209534;0.044872648066288635
M_his_DASH_L_c;0.2556149959564209;0.049977818049618594
M_ile_DASH_L_c;0.5130184292793274;0.10030395924975039
M_leu_DASH_L_c;0.1211191862821579;0.02368005221973649
M_lys_DASH_L_c;0.16827458143234253;0.032915865044371
M_met_DASH_L_c;0.309332013130188;0.06049446209139174
M_phe_DASH_L_c;0.23840010166168213;0.04662747353011941
M_pro_DASH_L_c;0.2901889681816101;0.05674681010232703
M_ser_DASH_L_c;0.4033799171447754;0.07890847036723114
M_thr_DASH_L_c;0.2759232819080353;0.05396746111030857
M_trp_DASH_L_c;0.3177269697189331;0.06212680846722234
M_tyr_DASH_L_c;0.06666547805070877;0.013037460693979177
M_val_DASH_L_c;0.14047202467918396;0.027473599487681254
