Monomer;mmol/gDW;Percentage (mol/mol)
M_ala_DASH_L_c;0.3705504238605499;0.07250752979232016
M_arg_DASH_L_c;0.10470005124807358;0.02048083665684796
M_asn_DASH_L_c;0.25094106793403625;0.04911538476739067
M_asp_DASH_L_c;0.3532286286354065;0.06913115867340815
M_cys_DASH_L_c;0.203916996717453;0.0398959058174379
M_gln_DASH_L_c;0.34996238350868225;0.06848428468463148
M_glu_DASH_L_c;0.13719871640205383;0.02684581978006845
M_gly_c;0.23002198338508606;0.044993289893724926
M_his_DASH_L_c;0.26729288697242737;0.05228434013504365
M_ile_DASH_L_c;0.5166643261909485;0.10106177091794154
M_leu_DASH_L_c;0.12284687161445618;0.02402852540028675
M_lys_DASH_L_c;0.17983269691467285;0.0351923877452374
M_met_DASH_L_c;0.30456340312957764;0.05958841052065447
M_phe_DASH_L_c;0.23828808963298798;0.04662631608146027
M_pro_DASH_L_c;0.2843477129936218;0.055629300427453794
M_ser_DASH_L_c;0.412578284740448;0.08074376452844269
M_thr_DASH_L_c;0.2653793692588806;0.05192830449457496
M_trp_DASH_L_c;0.3128896951675415;0.06120818962295765
M_tyr_DASH_L_c;0.0662701353430748;0.012965916224548034
M_val_DASH_L_c;0.13891485333442688;0.02718114583445464
