Monomer;mmol/gDW;Percentage (mol/mol)
M_ala_DASH_L_c;0.3613440692424774;0.07057547227697011
M_arg_DASH_L_c;0.1495271474123001;0.029195634186012138
M_asn_DASH_L_c;0.24327047169208527;0.04752610993365062
M_asp_DASH_L_c;0.32702726125717163;0.06388500499109041
M_cys_DASH_L_c;0.21184141933918;0.04136974308904562
M_gln_DASH_L_c;0.35680732131004333;0.06969480369903008
M_glu_DASH_L_c;0.14156366884708405;0.027648749339840097
M_gly_c;0.2305135726928711;0.04500615980814379
M_his_DASH_L_c;0.25511443614959717;0.04980998153328269
M_ile_DASH_L_c;0.5007445812225342;0.09776687550484464
M_leu_DASH_L_c;0.11698542535305023;0.022839777447003818
M_lys_DASH_L_c;0.17892339825630188;0.034949770689344205
M_met_DASH_L_c;0.32162410020828247;0.06281012796522982
M_phe_DASH_L_c;0.24727478623390198;0.04829539126808593
M_pro_DASH_L_c;0.2787334620952606;0.05443021380550922
M_ser_DASH_L_c;0.4256359338760376;0.08314535080981601
M_thr_DASH_L_c;0.2609925866127014;0.05097558790777203
M_trp_DASH_L_c;0.3057336211204529;0.05969782776754172
M_tyr_DASH_L_c;0.06823264062404633;0.013325227485515961
M_val_DASH_L_c;0.13801309466362;0.0269548186615575
