Monomer;mmol/gDW;Percentage (mol/mol)
M_ala_DASH_L_c;0.37167516350746155;0.07266246263570443
M_arg_DASH_L_c;0.1127588227391243;0.02203749085907508
M_asn_DASH_L_c;0.2474326491355896;0.04838532065667161
M_asp_DASH_L_c;0.3397691249847412;0.06643740452842387
M_cys_DASH_L_c;0.2069646269083023;0.04045589359296897
M_gln_DASH_L_c;0.3591129183769226;0.0702120117750862
M_glu_DASH_L_c;0.135409414768219;0.02647197158962809
M_gly_c;0.23441541194915771;0.045811592967226394
M_his_DASH_L_c;0.2676537036895752;0.05230802854477579
M_ile_DASH_L_c;0.5224228501319885;0.10209661878407994
M_leu_DASH_L_c;0.12436565011739731;0.024303804311977085
M_lys_DASH_L_c;0.17646674811840057;0.034502757188279214
M_met_DASH_L_c;0.304616242647171;0.05954536003545405
M_phe_DASH_L_c;0.2347830981016159;0.04589933685506103
M_pro_DASH_L_c;0.2775613069534302;0.05425297975593923
M_ser_DASH_L_c;0.40551578998565674;0.0792905127822863
M_thr_DASH_L_c;0.2640807330608368;0.051627904820135836
M_trp_DASH_L_c;0.31843313574790955;0.062236811111135895
M_tyr_DASH_L_c;0.06962458044290543;0.013610019244837832
M_val_DASH_L_c;0.14185810089111328;0.02773217878364653
